state,jurisdiction_id,ahj,cell_count,project_families,strict_classifications,source_statuses
AZ,us-az-paradise_valley,Paradise Valley,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-payson,Payson,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-peoria,Peoria,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-phoenix,Phoenix,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-pima_county,Pima County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-pinal_county,Pinal County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-prescott,Prescott,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-prescott_valley,Prescott Valley,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-queen_creek,Queen Creek,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-sahuarita,Sahuarita,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-san_luis,San Luis,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-scottsdale,Scottsdale,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-sedona,Sedona,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-sierra_vista,Sierra Vista,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-surprise,Surprise,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-tempe,Tempe,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-tucson,Tucson,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-wickenburg,Wickenburg,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-yavapai_county,Yavapai County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-yuma,Yuma,1,residential_remodel,FAIL_CLOSED,FAIL_CLOSED
CA,us-ca-anaheim,Anaheim,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-bakersfield,Bakersfield,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
